iso,year,rank_eci,growth_proj_annual_2024,rank_growth,name
PNG,2005,121,3.06,76,Papua New Guinea
COG,2005,117,2.91,88,Republic of the Congo
MLI,2005,107,5.2,10,Mali
LBY,2005,89,1.43,120,Libya
MRT,2005,119,3.64,48,Mauritania
YEM,2005,115,4.32,29,Yemen
GIN,2005,120,4.37,28,Guinea
NGA,2005,123,2.83,91,Nigeria
AGO,2005,122,2.98,86,Angola
JPN,2006,1,3.1,67,Japan
DEU,2006,2,0.48,123,Germany
CHE,2006,4,3.07,70,Switzerland
KOR,2006,10,3.66,42,South Korea
SWE,2006,3,3.38,52,Sweden
AUT,2006,6,2.44,98,Austria
CZE,2006,8,3.22,61,Czech Republic
FIN,2006,5,3.46,47,Finland
HUN,2006,15,3.36,53,Hungary
GBR,2006,7,3.24,59,United Kingdom
SVN,2006,11,3.24,60,Slovenia
SVK,2006,16,3.51,45,Slovakia
USA,2006,9,2.32,101,United States
ITA,2006,17,2.17,107,Italy
IRL,2006,13,3.09,68,Ireland
FRA,2006,12,2.69,90,France
CHN,2006,34,4.98,15,China
DNK,2006,14,2.69,91,Denmark
BEL,2006,18,2.75,85,Belgium
MEX,2006,19,4.45,25,Mexico
ISR,2006,24,4.18,30,Israel
NLD,2006,20,2.65,94,Netherlands
EST,2006,29,3.01,75,Estonia
THA,2006,39,4.39,27,Thailand
POL,2006,23,3.48,46,Poland
MYS,2006,28,4.62,21,Malaysia
ESP,2006,22,3.27,57,Spain
BLR,2006,21,3.77,37,Belarus
HRV,2006,27,2.96,78,Croatia
NOR,2006,26,1.59,117,Norway
LTU,2006,32,2.99,77,Lithuania
LVA,2006,33,2.9,81,Latvia
PRT,2006,37,2.66,92,Portugal
BIH,2006,38,3.21,63,Bosnia and Herzegovina
BGR,2006,40,3.15,66,Bulgaria
CAN,2006,25,3.17,65,Canada
PHL,2006,45,5.08,12,Philippines
TUR,2006,43,4.58,22,Turkey
UKR,2006,35,3.69,41,Ukraine
IND,2006,49,7.26,1,India
GRC,2006,47,2.5,96,Greece
TUN,2006,56,3.53,44,Tunisia
JOR,2006,48,4.76,20,Jordan
NZL,2006,42,2.72,88,New Zealand
RUS,2006,31,2.77,84,Russia
URY,2006,51,2.66,93,Uruguay
